ui.loading_region,지역 정보를 불러오고 있어요!,Loading regional data!
ui.loading_retry,로딩이 길다면 여기를 눌러 다시 불러오기!!,Taking too long? Click here to reload!
ui.copied,클립보드에 복사되었습니다.,Copied to clipboard.
ui.close_search,검색닫기,Close Search
ui.close_sort,정렬닫기,Close Sort
ui.list_view,목록보기,List
ui.map_view,지도보기,Map
ui.sort_grade,등급순,By Grade
ui.sort_price,실거래가순,By Price
ui.sort_newest,신축순,By Newest
ui.sort_units,세대수순,By Units
ui.sort_total,총점순,By Total Score
ui.sort_rank_change,순위변동순,By Rank Change
ui.sort_population,인구순,By Population
ui.sort_pop_change,인구증감순,By Pop. Change
ui.sort_jobs,일자리순,By Jobs
ui.sort_income,소득순,By Income
ui.filter,필터,Filter
ui.filter_area,평형,Size
ui.filter_price,가격,Price
ui.report_publish,리포트 발행,Publish Report
ui.compare_complex,단지 비교하기,Compare Complexes
ui.graph_analysis,동별 고·저평가 아파트 분석,Overvalued / Undervalued Analysis
ui.modal_wait,잠시만 기다려 주세요,Please wait...
ui.no_graph_data,표시할 그래프 데이터가 없습니다.,No graph data available.
ui.load_failed,불러올 수 없었어요. 다시 시도해 주세요.,Failed to load. Please try again.
ui.page_moving,페이지 이동 중입니다,Redirecting...
ui.app_download_desc,"리얼랭커스 앱을 설치하시면,<br>더 넓은 화면으로 볼 수 있어요!<br><span style='font-size: 0.75em; color: #999;'>(앱 크기가 5메가도 안 돼요!)</span>","If you install the Realrankus app,<br>you can view it on a wider screen!<br><span style='font-size: 0.75em; color: #999;'>(App size is less than 5MB!)</span>"
ui.app_download_btn,앱 설치하기,Install App
ui.app_download_cancel,"괜찮아요, 모바일 웹으로 볼게요","No thanks, I'll view on mobile web"
ui.no_likes,좋아요 단지가 없어요,No liked complexes yet.
ui.no_likes_suggest,가장 먼저 마음에 드는 단지에,Why not be the first to
ui.no_likes_action,좋아요,Like
ui.no_likes_question,를 해 주시는건 어떨까요?,a complex you like?
ui.weight_living,주거,Living
ui.weight_transport,교통,Transport
ui.weight_infra,인프라,Infra
ui.weight_edu,교육,Education
ui.search_suffix,검색,Search
ui.search_example_korea_local,"예) 강남, 분당, 수지, 해운대","e.g.) Gangnam, Bundang, Suji, Haeundae"
ui.search_example_local,"예) 서초동, 래미안, 힐스테이트, 주공","e.g.) Seocho-dong, Raemian, Hillstate, Jugong"
ui.search_example_global,"예) 강남 래미안, 래미안 힐스테이트, 주공","e.g.) Gangnam Raemian, Raemian Hillstate, Jugong"
ui.area_unit,평,py
ui.price_unit,억,00M KRW
ui.price_all,가격 전체,All Prices
ui.area_all,평형 전체,All Sizes
ui.price_unit_under,억 이하,00M KRW or under
ui.price_unit_over,억 이상,00M KRW or over
ui.weight_default_suffix, 가중치 (기본값), weights (default)
ui.supply_pop_jobs,공급필요/인구/일자리,Supply/Population/Jobs
ui.top300_living,주거우선 TOP 300,Living TOP 300
ui.top300_transport,출퇴근 교통 TOP 300,Commute/Transport TOP 300
ui.top300_infra,인프라우선 TOP 300,Infrastructure TOP 300
ui.top300_edu,교육우선 TOP 300,Education TOP 300
ui.top300_balanced,균형잡힌 TOP 300,Balanced TOP 300
ui.meta_apt_suffix,"입지분석, 시세, 실거래가 | 표준화된 리얼랭커스 입지분석","Location Analysis, Market Value, Real Transaction Prices | Realrankus"
ui.meta_apt_desc_suffix,"의 주거, 교통, 인프라, 교육 환경 분석 정보를 데이터로 확인하세요."," - Check living, transport, infrastructure, and education analysis data."
ui.region_label,지역,Region
ui.regions.Korea,전국,Nationwide
ui.regions.Seoul,서울시,Seoul
ui.regions.Gyeonggi,경기도,Gyeonggi-do
ui.regions.Busan,부산시,Busan
ui.regions.Daegu,대구시,Daegu
ui.regions.Incheon,인천시,Incheon
ui.regions.Gwangju,광주시,Gwangju
ui.regions.Daejeon,대전시,Daejeon
ui.regions.Ulsan,울산시,Ulsan
ui.regions.Sejong,세종시,Sejong
ui.regions.Gangwondo,강원도,Gangwon-do
ui.regions.Chungcheongbukdo,충청북도,Chungcheongbuk-do
ui.regions.Chungcheongnamdo,충청남도,Chungcheongnam-do
ui.regions.Jeollabukdo,전북도,Jeollabuk-do
ui.regions.Jeollanamdo,전라남도,Jeollanam-do
ui.regions.Gyeongsangbukdo,경상북도,Gyeongsangbuk-do
ui.regions.Gyeongsangnamdo,경상남도,Gyeongsangnam-do
ui.regions.Jejudo,제주도,Jeju-do
ui.view_naver,네이버 부동산 보기,Naver Real Estate
ui.view_hogangnono,호갱노노 보기,Hogangnono
ui.view_apartment,{name} 아파트 보기,View {name}
ui.menu.aptrank,아파트분석,Analysis
ui.menu.aptrank_desc,"대한민국 아파트 입지, 리얼랭커스",Korea Apartment Analysis
ui.menu.price,실거래가,Realtime Prices
ui.menu.price_desc,"보기 편한 실거래가, 리얼랭커스PRICE",User-Friendly Realtime Prices
ui.menu.biz,지역분석,Regional
ui.menu.biz_desc,"지역단위 부동산 시장 현황, 리얼랭커스BIZ",Regional Real Estate Market Status
ui.menu.cityclass,급지표,Tier List
ui.menu.cityclass_desc,"전국의 도시별 백분위표, City Class",National City percentile table
ui.menu.moneyflow,시장지표,Indicators
ui.menu.moneyflow_desc,"하루 한 번 시장 지표를 읽는 습관, Money Flow",Daily habit of reading market indicators
ui.menu.theme,테마검색,Themes
ui.menu.theme_desc,"공시 1억, 5층 이하 / 분양권 / 재건축 모아보기",Under 5 floors / Pre-sales / Reconstruction
ui.menu.newsinfo,뉴스,News
ui.menu.newsinfo_desc,"부동산, 금융, 경제 뉴스 모아보기, 리얼랭커스 NEWS","Real estate, finance, economic news"
ui.menu.priceCal,분양가계산,Calculator
ui.menu.priceCal_desc,"적정 분양가의 합리적 계산, 분양가 GENERATOR",Reasonable calculation of pre-sale price
ui.menu.op,오피스텔분석,Officetels
ui.menu.op_desc,"대한민국 오피스텔 입지, 오피스텔랭크",Korea Officetel Location Analysis
ui.menu.notice,공지사항 / 업데이트,Notice / Updates
ui.menu.cafe,네이버 카페,Naver Cafe
ui.menu.lang_switch_desc,Korean(한국어) → English(영어),영어(English) → 한국어(Korean)
ui.menu.youtube,유튜브: @realrankus,YouTube: @realrankus
ui.menu.instagram,인스타그램: @realrankus,Instagram: @realrankus
ui.menu.facebook,페이스북,Facebook
ui.menu.app_download,앱 다운로드,App Download
ui.menu.coffeechat_title,"""{years}년 차를 맞이한 지속 가능한 AI 서비스, 리얼랭커스""","Celebrating {years} Years of Sustainable AI Service, Realrankus"
ui.menu.coffeechat_desc,2022년 런칭 이후 1인 기업으로서 꾸준한 데이터 업데이트와 고도화를 통해 시장의 신뢰를 쌓아왔습니다. 서비스의 미래 비전 혹은 협업에 관한 가벼운 커피챗 제안을 기다리고 있습니다.,"Since launching in 2022 as a solopreneur, I have built market trust through continuous data updates and refinement. I welcome light coffee chat proposals regarding the service's future vision or collaboration."
ui.menu.coffeechat_link,커피챗 : ,Coffee Chat: 
ui.menu.company_name,리얼랭커스,Realrankus
ui.menu.company_title,서비스명,Company
ui.menu.contact_title,제휴문의,Contact
ui.menu.ceo_title,대표자,CEO
ui.menu.ceo_name,김선우,Sunwoo Kim
ui.menu.planner_title,기획자,Strategic Planner
ui.menu.planner_name,원문정,Moonjeong Won
ui.menu.biz_reg_title,사업자번호,Biz Registration No.
ui.menu.ecommerce_title,통신판매번호,eCommerce License No.
ui.menu.office_title,소재지,Head Office
ui.menu.office_address,"서울시 강남구 테헤란로77길 11-9, A동 113호(삼성동)","7F A113, 11-9, Teheran-ro 77-gil, Gangnam-gu, Seoul"
ui.menu.policy,이용약관,Terms of Use
ui.menu.privacy,개인정보처리방침,Privacy Policy
ui.menu.naver_logout,네이버 로그아웃,Naver Sign out
ui.menu.kakao_logout,카카오 로그아웃,Kakao Sign out
ui.menu.apple_logout,Apple 로그아웃,Apple Sign out
ui.menu.login_popup,리얼랭커스의 모든 서비스를 이용하세요,Access all features on Realrankus
ui.menu.login_btn,리얼랭커스 로그인,Sign in to Realrankus
ui.menu.welcome_msg,{nickname}님 반갑습니다!<br><span style='font-size:0.8em'>모든 서비스를 이용할 수 있어요</span>,"Welcome, {nickname}!<br><span style='font-size:0.8em'>You can use all services</span>"
ui.menu.welcome_msg_email,{email}<br><span style='font-size:0.8em'>모든 서비스를 이용할 수 있어요</span>,{email}<br><span style='font-size:0.8em'>You can use all services</span>
ui.report.banner_template,"{region}에서 처음 집 살 때 실패하지 않는 기준, 리얼 리포트 (29,900원)","The report for buying your first home in {region}, Real Report (29,900 KRW)"
ui.report.banner_template_mobile,"{region}에서 처음 집 살 때 실패하지 않는 기준,<br/>리얼 리포트 (29,900원)","The report for buying your first home in {region},<br/>Real Report (29,900 KRW)"
ui.report.banner_map_template,"{region}에서 처음 집 살 때 실패하지 않는 기준, 리얼 리포트","The report for buying your first home in {region}, Real Report"
ui.report.banner_map_template_mobile,"{region}에서 처음 집 살 때 실패하지 않는 기준,<br/>리얼 리포트","The report for buying your first home in {region}, Real Report"
ui.report.age_descriptions.0,"사회초년, 결혼준비","Early career, marriage prep"
ui.report.age_descriptions.1,"신혼, 자녀출산","Newlyweds, childbirth"
ui.report.age_descriptions.2,"커리어상승, 자녀양육","Career growth, parenting"
ui.report.age_descriptions.3,"커리어최고, 자녀학령","Career peak, school-aged children"
ui.report.age_descriptions.4,"관리/임원급, 자녀성년","Management/Executive, adult children"
ui.report.age_descriptions.5,"커리어하강/은퇴, 자녀독립","Career decline/Retirement, children independent"
ui.report.age_descriptions.6,"노후, 후대양성","Senior years, legacy building"
ui.report.step_customer_info,① 고객 정보,① Customer Info
ui.report.step_customer_desc,"고객님의 부동산 맞춤 리포트를 작성하기 위해 아래 정보를 입력해 주세요.<br/> 고객님의 이름은 리포트 발행 전, 입금 계좌 일치 여부 확인에 사용되며, 이메일 주소는 발행되는 리포트를 받는 데 사용됩니다.<br/> 리포트 발행 비용은 29,900원이며, 입금 확인 후 24시간 이내에 리포트가 발행되어 이메일로 전송됩니다.","Please enter the information below to generate your personalized real estate report.<br/>Your name will be used to verify the payment account, and your email will be used to send the completed report.<br/>The report fee is 29,900 KRW, and your report will be generated and sent via email within 24 hours of payment verification."
ui.report.customer_name,고객이름,Name
ui.report.customer_email,이메일,Email
ui.report.enter_domain,직접 입력,Enter domain
ui.report.customer_age,고객연령,Age
ui.report.customer_family,가족구성,Family Size
ui.report.customer_children,자녀구성,Children
ui.report.customer_children_type,자녀구성구분,Children Type
ui.report.customer_income,가족연소득,Annual Income
ui.report.step_budget,② 예산 설정,② Budget Settings
ui.report.step_budget_desc,"'사용 가능 예산'은 고객님이 실제로 사용할 수 있는 예산을 의미하고, '대출 가능 금액'은 고객님이 대출을 통해 추가로 사용할 수 있는 금액을 의미합니다.<br/> 예를 들어, 고객님의 사용 가능 예산이 3억원이고, 대출 가능 금액이 2억원인 경우, 총 5억원의 예산으로 부동산이 추천됩니다.","'Available Cash' refers to the cash/equity you can actually use, and 'Loan Limit' refers to the additional amount you can borrow.<br/>For example, if your available cash is 300 Million KRW and your loan limit is 200 Million KRW, complexes will be recommended based on a total budget of 500 Million KRW."
ui.report.budget_cash,사용 가능 예산,Available Cash
ui.report.budget_loan,대출 가능 금액,Loan Limit
ui.report.currency_unit,원,KRW
ui.report.currency_unit_won,원,KRW
ui.report.step_location,③ 자주 가는 위치,③ Frequent Location
ui.report.step_location_desc,"먼저 ""대중교통이동"" 또는 ""자차이동"" 중 하나는 선택한 뒤, 아래 지도에서 자주 가는 위치를 설정해 주세요.<br/> 자주 가는 위치는 일반적으로 직장의 위치를 의미하며, 설정된 위치를 기준으로 선택된 대중교통 또는 자차로의 이동 시간을 고려한 단지가 추천됩니다.","First, select either 'Public Transport' or 'Driving', then set your frequent location on the map below.<br/>This is typically your workplace. Recommended complexes will consider commute times to this location using your selected transport method."
ui.report.public_transport,대중교통이동,Public Transport
ui.report.driving,자차이동,Driving
ui.report.search_map,지도이동,Search Map
ui.report.step_preferred_districts,④ 원하는 지역,④ Preferred Districts
ui.report.step_preferred_districts_desc,고객님께서 선호하는 지역을 군구 단위로 최대 4곳까지 선택해 주세요. 선택된 지역에서 예산 내의 단지가 우선적으로 추천됩니다.,Select up to 4 preferred districts (cities/counties). Complexes within these districts will be prioritized for recommendation within your budget.
ui.report.add_region,+ 지역추가,+ Add Region
ui.report.step_priorities,⑤ 중요도 선정,⑤ Importance / Priorities
ui.report.step_priorities_desc,"고객님께서 중요하게 생각하시는 항목들의 우선순위를 설정해 주세요. 각 항목의 중요도에 따라 단지 추천 시 반영됩니다.<br/> 단, 모든 항목의 중요도를 동일하게 설정할 경우, 균형 잡힌 단지 추천이 이루어집니다.",Set the priorities for the items you care about. These weights will be factored into the complex recommendations.<br/>Setting equal weights for all items will result in balanced recommendations.
ui.report.modal_title,리얼리포트 요청,Request Real Report
ui.report.view_sample,샘플보기: 홍길동님을 위한 리얼랭커스 추천 보고서.pdf,View Sample: Realrankus Recommended Report for Gildong Hong.pdf
ui.report.temp_save,임시저장,Temp Save
ui.report.load_temp,불러오기,Load
ui.report.load_temp_full,임시저장 불러오기,Load Temp Save
ui.report.confirm_info,요청 정보 확인,Confirm Request Info
ui.report.confirm_title,리얼리포트 요청 정보 확인,Confirm Report Request Details
ui.report.customer_info,고객 정보,Customer Info
ui.report.customer_fav_point_address,자주 가는 위치,Frequent Location
ui.report.customer_wanted_region_str,원하는 지역,Preferred Districts
ui.report.customer_priority,중요도,Priorities
ui.report.confirm_desc_1,"고객님의 입력 정보를 최종 확인 후, '리포트 요청하기' 버튼을 누르시면 리포트 요청이 완료됩니다.",Review your information and click 'Submit Request' to complete your request.
ui.report.confirm_desc_2,"리포트 요청 완료 후, 입금이 확인되면 리포트 제작이 시작되며, 24시간 이내에 이메일로 리포트가 발송됩니다.","Once payment is verified, the report generation will begin and the final PDF will be sent to your email within 24 hours."
ui.report.confirm_desc_3,문의사항은 카카오톡 채널 '리얼랭커스'로 문의해 주세요.,"For any inquiries, contact us via KakaoTalk channel 'Realrankus'."
ui.report.account_no,계좌번호 : 신협 137-015-668232,Bank: Shinhyup 137-015-668232
ui.report.account_holder,예금주 : 원ㅇ정,Account Holder: Won O Jeong
ui.report.account_price,"가격 : 29,900원","Price: 29,900 KRW"
ui.report.copy_btn,[복사하기],[Copy]
ui.report.copied_account,계좌번호가 복사되었습니다.,Account number copied to clipboard.
ui.report.cash_receipt,현금영수증,Cash Receipt
ui.report.receipt_no,미발행,No Receipt
ui.report.receipt_yes,발행 (,Issue Receipt (
ui.report.receipt_phone,휴대폰번호,Phone No
ui.report.btn_back,이전,Back
ui.report.btn_submit,리포트 요청하기,Submit Request
ui.report.btn_close,닫기,Close
ui.report.err_name,고객 이름을 입력해 주세요!,Please enter your name!
ui.report.err_email,이메일 주소를 입력해 주세요!,Please enter your email address!
ui.report.err_email_invalid,올바른 이메일 주소를 입력해 주세요!,Please enter a valid email address!
ui.report.err_budget,사용 가능 예산을 입력해 주세요!,Please enter your available budget!
ui.report.saved_temp,임시저장이 완료되었어요!,Temporary data has been saved!
ui.report.no_temp_data,저장된 임시데이터가 없어요!,No saved temporary data found!
ui.report.loaded_temp,임시저장이 불러와졌어요!,Temporary data has been loaded!
ui.report.err_receipt_phone,현금영수증 발급을 위해 휴대폰번호 또는 사업자등록번호를 입력해 주세요!,Please enter your phone number or business registration number for the cash receipt!
ui.report.submit_success,리포트 요청이 완료되었어요! 입금 확인 후 리포트 제작이 시작됩니다.,Report request submitted successfully! We will start generating your report after verifying payment.
ui.report.submit_error,리포트 요청 중 오류가 발생했어요. 다시 시도해 주세요.,An error occurred while submitting your request. Please try again.
ui.report.no_search_result,검색 결과가 없어요!,No search results found!
ui.report.no_address_found,주소를 찾을 수 없어요!,Could not find the address!
ui.report.age_0,20~26세,20-26 years
ui.report.age_1,27~32세,27-32 years
ui.report.age_2,33~40세,33-40 years
ui.report.age_3,41~50세,41-50 years
ui.report.age_4,51~60세,51-60 years
ui.report.age_5,61~70세,61-70 years
ui.report.age_6,71세~,71+ years
ui.report.family_1,1인,1 person
ui.report.family_2,2인,2 people
ui.report.family_3,3인,3 people
ui.report.family_4,4인,4 people
ui.report.family_5,5인,5 people
ui.report.family_6,6인 이상,6+ people
ui.report.children_0,없음,None
ui.report.children_1,1자녀,1 child
ui.report.children_2,2자녀,2 children
ui.report.children_3,3자녀,3 children
ui.report.children_4,4자녀 이상,4+ children
ui.report.children_type_0,---,---
ui.report.children_type_1,미성년,Minor
ui.report.children_type_2,성년,Adult
ui.report.children_type_3,미성년 + 성년,Minor + Adult
ui.report.income_00,"2,000만원 이하",Under 20 Million KRW
ui.report.income_01,"2,001만원 ~ 3,000만원",20M ~ 30M KRW
ui.report.income_02,"3,001만원 ~ 5,000만원",30M ~ 50M KRW
ui.report.income_03,"5,001만원 ~ 8,000만원",50M ~ 80M KRW
ui.report.income_04,"8,001만원 ~ 9,999만원",80M ~ 100M KRW
ui.report.income_05,1.00억원 ~ 1.50억원,100M ~ 150M KRW
ui.report.income_06,1.51억원 ~ 3.00억원,150M ~ 300M KRW
ui.report.income_07,3.01억원 ~ 5.00억원,300M ~ 500M KRW
ui.report.income_08,5.01억원 ~ 10.0억원,500M ~ 1 Billion KRW
ui.report.income_09,10.1억원 ~ 30.0억원,1B ~ 3B KRW
ui.report.income_10,30.1억원 ~ 50.0억원,3B ~ 5B KRW
ui.report.income_11,50.1억원 ~,Over 5B KRW
ui.report.reconstruction,재건축,Reconstruction
ui.report.presale_expected,예정,Expected
ui.report.presale_scheduled,분양예정,Pre-sale Scheduled
ui.report.presale,분양권,Pre-sale
ui.report.reconstruction_eligible,재건축 대상,Eligible for Reconstruction
ui.report.years_suffix,년차, years
ui.report.living,주거,Living
ui.report.transport,교통,Transport
ui.report.infra,인프라,Infra
ui.report.education,교육,Education
ui.report.comment_pop_title,{count}개의 우리 단지 랭커스톡,{count} Rankus Talk for this complex
ui.report.score_relative_guide,(지역구의 모든 단지에 대해 100점으로 환산한 상대 점수 입니다.),(This score is converted to 100 points compared to other complexes in the district.)
ui.report.login_guide,더 자세한 정보와 분석을 확인하세요,Log in to check more detailed information and analysis
ui.report.login_button,리얼랭커스 로그인,Log In
ui.report.simul_guide,"↓↓ 내 생각과 다르다면, 데이터를 바꿔 보세요! ↓↓","↓↓ If you have different thoughts, try changing the data! ↓↓"
ui.report.simul_button,랭크 시뮬레이션,Rank Simulation
ui.report.compare_button,단지 비교하기,Compare Complexes
ui.report.real_radar_map,리얼레이더맵,Real Radar Map
ui.report.map_click_guide,지도를 선택하면 주변 입지를 확인할 수 있어요!,Click the map to see the surrounding landmarks!
ui.report.premium_applied,적용,Applied
ui.report.house_num_label,세대수,Households
ui.report.house_num_unit,세대, households
ui.report.undetermined,미정,TBD
ui.report.unknown_house_num,세대수 미정,Unknown Households
ui.report.floor_rate_label,용적률,Floor Area Ratio (FAR)
ui.report.cover_rate_label,건폐율,Building Coverage
ui.report.parking_label,주차,Parking
ui.report.heating_label,난방방식,Heating
ui.report.entrance_label,현관구조,Entrance Style
ui.report.area_label,평형,Size
ui.report.rooms_baths_label,방수/욕실수,Rooms / Baths
ui.report.maintenance_label,평균 관리비,Avg. Maintenance Fee
ui.report.won_unit,원, KRW
ui.report.rebuild_comment,"재건축의 경우, 향후 신축이 될 가능성을 고려하여 용적률과 건폐율로 주거 점수를 계산합니다.","For reconstruction complexes, the living score is calculated using the floor area ratio (FAR) and building coverage, considering the redevelopment potential."
ui.report.pending_comment,"'미정' 항목이 있는 경우 평균치로 대체되어 계산되며, 향후 정보 업데이트에 따라 점수가 변경될 수 있습니다.","Any 'TBD' items are replaced with average values for calculation, and scores may change with future updates."
ui.report.living_score_guide,"주거총점 계산을 위한 정보는 네이버 부동산으로 취득하며, 세대수/평형/난방방식 등의 항목을 상대점수로 산정합니다.","Information for living score is fetched from Naver Land. Households, size, heating style, etc. are calculated as relative scores."
ui.report.floor_noise_label,층간소음,Floor Noise
ui.report.floor_noise_mgmt_label,층간소음 관리,Floor Noise Management
ui.report.noise_excellent,우수,Excellent
ui.report.noise_normal,보통,Normal
ui.report.no_info,정보 없음,No Info
ui.report.floor_noise_guide,층간소음 관리 정보는 층간소음 전문 연구소 주거문화개선연구소/층간소음에 안전한 아파트(앱)에서 제공됩니다.,Floor noise data is provided by the professional laboratory Living Culture Improvement Research Institute / Floor Noise Safe Apartment (App).
ui.report.nearest_station_label,가장 가까운 역,Nearest Station
ui.report.station_30m_label,30분 이내 도착 가능 주요역,Key stations within 30 min
ui.report.station_1h_label,1시간 이내 도착 가능 주요역,Key stations within 1 hour
ui.report.transport_guide_google,"가장 가까운 역은 직선거리로 계산됩니다.<br>주요역은 평일 출근시간대 하차인원이 가장 많은 역을 의미합니다.<br>30분, 1시간 이동 거리는 구글 대중교통 이동 시간 정보를 사용합니다.",Nearest station is calculated by straight line distance.<br>Key stations represent stations with high disembarking volume in weekday rush hours.<br>Travel times are based on Google transit data.
ui.report.transport_guide_tmap,"가장 가까운 역은 직선거리로 계산됩니다.<br>주요역은 평일 출근시간대 하차인원이 가장 많은 역을 의미합니다.<br>30분, 1시간 이동 거리는 T-MAP 대중교통 이동 시간 정보를 사용합니다.",Nearest station is calculated by straight line distance.<br>Key stations represent stations with high disembarking volume in weekday rush hours.<br>Travel times are based on T-MAP transit data.
ui.report.dept_store_3km_label,3km 이내 백화점,Dept. Store within 3km
ui.report.outlet_5km_label,5km 이내 아울렛/몰,Outlet/Mall within 5km
ui.report.mart_1km_label,1km 이내 대형마트,Big Mart within 1km
ui.report.market_300m_label,300m 이내 상권,Commercial Dist within 300m
ui.report.bank_500m_label,500m 이내 은행,Bank within 500m
ui.report.hospital_500m_label,500m 이내 병원,Hospital within 500m
ui.report.big_hospital_5km_label,5km 이내 대형병원,General Hospital within 5km
ui.report.park_500m_label,500m 이내 공원,Park within 500m
ui.report.big_park_1km_label,1km 이내 대형공원,Large Park within 1km
ui.report.harmful_3km_label,3km 이내 혐오시설,Objectionable Facility within 3km
ui.report.infra_guide_with_market,"인프라 정보는 각 백화점/마트 홈페이지, 은행연합회, 자원순환정보시스템, 공공데이터 포탈의 정보를 기반으로 산정되며, 상권은 호갱노노 정보를 사용합니다.","Infra information is based on official homepages of department stores/marts, Korea Federation of Banks, Korea Resource Circulation Service, and Public Data Portal, and commercial area is based on Hogangnono."
ui.report.infra_guide_base,"인프라 정보는 각 백화점/마트 홈페이지, 은행연합회, 자원순환정보시스템, 공공데이터 포탈의 정보를 기반으로 산정됩니다.","Infra information is based on official homepages of department stores/marts, Korea Federation of Banks, Korea Resource Circulation Service, and Public Data Portal."
ui.report.pSchool_distance_label,초등학교 거리,Elmtr School Distance
ui.report.pSchool_change_label,초등학교 학생증감,Elmtr School Enrollment Change
ui.report.transfer_in_heavy,많은 전입,Heavy Net In-migration
ui.report.transfer_in_light,적은 전입,Light Net In-migration
ui.report.transfer_neutral,전입/전출 적음,Stable Enrollment
ui.report.transfer_out_light,적은 전출,Light Net Out-migration
ui.report.transfer_out_heavy,많은 전출,Heavy Net Out-migration
ui.report.mSchool_achievement_label,중학교 보통 학력 이상,Middle School Achievement Rate
ui.report.harmful_facility_label,300m 이내 유흥시설/모텔,Nightlife/Motel within 300m
ui.report.edu_guide_base,교육 정보는 교육통계서비스 정보를 기반으로 산정됩니다.,Education information is based on Education Statistics Service.
ui.report.edu_guide_with_academy_and_harmful,"교육 정보는 교육통계서비스 정보를 기반으로 산정되며,<br>학원가는 호갱노노의 정보를 사용합니다.<br>초등학교까지의 거리는 직선거리로 계산됩니다.<br>유흥시설과 모텔정보는 교육 감점요소로 적용됩니다.","Education info is based on Education Statistics Service,<br>academies on Hogangnono.<br>Elementary school distance is straight line distance.<br>Nightlife and motels act as education penalty points."
ui.report.edu_guide_with_academy,"교육 정보는 교육통계서비스 정보를 기반으로 산정되며, 학원가는 호갱노노의 정보를 사용합니다.<br>초등학교까지의 거리는 직선거리로 계산됩니다.","Education info is based on Education Statistics Service,<br>academies on Hogangnono.<br>Elementary school distance is straight line distance."
ui.report.recent_sales_alert, (최근 1개월내 실거래는 빨간색으로 표시), (Transactions in recent 1 month highlighted in red)
ui.report.recent_sales_label,최근 매매,Recent Sales
ui.report.no_sales_info,거래 정보 없음,No Sales Info
ui.report.sales_price_label,매매 실거래가,Sales Price
ui.report.rent_price_label,전세 실거래가,Rent Price
ui.report.price_per_py_label,평단가,Price per Py
ui.report.rent_ratio_label,전세가율,Rent Ratio
ui.report.actual_price_label,실거래가,Actual Price
ui.report.ten_thousand_won,만원,0K KRW
ui.report.sales_info_guide,실거래가 정보는 네이버 부동산으로 취득합니다.,Transaction price information is retrieved from Naver Land.
ui.report.price_change_label,매매가변동,Price Trend
ui.report.show_graph_label,그래프보기,Show Graph
ui.report.region_info_guide,지역구 정보는 공공데이터포탈 정보를 기반으로 산정됩니다.,District information is based on the Public Data Portal.
ui.report.region_average,지역평균,District Avg
ui.report.living_score_label,주거총점,Living Score
ui.report.transport_score_label,교통총점,Transport Score
ui.report.infra_score_label,인프라총점,Infra Score
ui.report.edu_score_label,학군총점,Education Score
ui.report.population_score_label,인구총점,Population Score
ui.report.job_score_label,일자리총점,Job Score
ui.report.station_suffix,역, Station
ui.report.rank_suffix,위,""""""
ui.report.sort_default,균형잡힌,Balanced
ui.report.sort_living,주거우선,Living First
ui.report.sort_trans,교통우선,Transport First
ui.report.sort_infra,인프라우선,Infra First
ui.report.sort_edu,교육우선,Education First
ui.report.sort_custom,커스텀,Custom
ui.report.rearrange_rank,순위변동순,Rank Change
ui.report.rearrange_price,실거래가순,Price
ui.report.rearrange_new,신축순,Newest
ui.report.rearrange_house,세대수순,Households
